name,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary,return
James Johnson,PF,31,MIA,55,1164,10.9,0.522,0.393,0.185,2.0,14.1,8.0,17.0,1.5,2.1,15.3,17.8,0.0,1.5,1.5,0.062,-2.4,1.1,-1.2,0.2,14420700,1.878440155812499
Stanley Johnson,SF,22,TOT,66,1208,9.6,0.485,0.489,0.145,3.0,16.9,9.7,10.6,2.4,1.0,14.7,19.4,-1.1,1.6,0.5,0.021,-3.1,0.9,-2.2,0.0,3940401,2.386730812425787
Stanley Johnson,SF,22,DET,48,961,9.8,0.482,0.519,0.146,2.7,17.7,9.9,9.4,2.5,1.1,12.9,19.1,-0.7,1.4,0.7,0.034,-2.9,1.3,-1.6,0.1,3940401,2.3956856550787133
Tyler Johnson,PG,26,TOT,57,1529,12.4,0.532,0.494,0.241,2.4,9.8,6.1,15.9,1.7,1.6,11.7,18.5,0.9,1.4,2.3,0.071,-0.7,0.3,-0.4,0.6,19245370,1.8090954201647955
Tyler Johnson,PG,26,MIA,44,1123,12.3,0.54,0.509,0.219,1.8,9.7,5.7,14.9,1.7,1.7,12.5,19.2,0.5,1.3,1.8,0.075,-0.7,0.6,-0.1,0.5,19245370,1.8055788464419584
Tyler Johnson,PG,26,PHO,13,406,12.8,0.506,0.448,0.312,4.0,10.3,7.1,18.6,1.6,1.2,9.0,16.5,0.4,0.1,0.5,0.06,-0.5,-0.6,-1.0,0.1,19245370,1.822883704650429
Wesley Johnson,SF,31,TOT,38,534,5.5,0.469,0.594,0.14800000000000002,2.4,11.7,7.1,5.3,1.2,1.9,11.7,12.0,-0.3,0.3,0.0,0.001,-4.3,-0.5,-4.8,-0.4,6134000,1.952618917847777
Wesley Johnson,SF,31,NOP,26,377,6.9,0.517,0.568,0.102,2.8,11.9,7.4,5.2,1.5,1.5,11.5,11.3,0.0,0.2,0.3,0.032,-3.4,0.3,-3.1,-0.1,6134000,2.0511053190907886
Damian Jones,C,23,GSW,24,410,15.3,0.72,0.0,0.5,8.4,11.0,9.8,8.7,1.4,5.1,15.1,11.1,1.0,0.5,1.5,0.173,-0.6,1.7,1.1,0.3,1544951,2.9957767210160187
Tyus Jones,PG,22,MIN,68,1560,13.7,0.491,0.28300000000000003,0.155,1.6,7.7,4.6,28.3,2.5,0.3,9.0,14.1,2.1,0.9,3.0,0.091,-0.9,0.3,-0.6,0.6,2444052,2.7486101253760644
DeAndre Jordan,C,30,TOT,69,2047,19.0,0.674,0.0,0.5920000000000001,11.7,35.2,23.5,11.6,1.0,3.0,21.4,15.0,4.0,3.1,7.1,0.16699999999999998,0.8,1.3,2.1,2.1,22897200,1.9189712233682905
DeAndre Jordan,C,30,DAL,50,1554,18.0,0.672,0.0,0.613,11.2,35.9,23.6,9.5,1.0,2.9,21.3,14.4,2.7,2.5,5.3,0.162,0.4,1.3,1.7,1.4,22897200,1.8954901275187674
DeAndre Jordan,C,30,NYK,19,493,22.1,0.6809999999999999,0.0,0.537,13.3,33.0,22.9,18.2,0.9,3.4,21.6,16.8,1.3,0.6,1.9,0.181,2.2,1.3,3.4,0.7,22897200,1.984609896100572
Cory Joseph,PG,27,IND,82,2063,11.0,0.474,0.312,0.078,2.1,12.6,7.5,20.7,2.2,0.9,12.4,13.7,0.5,2.9,3.5,0.081,-2.1,1.7,-0.4,0.9,7945000,2.1412987836148267
Frank Kaminsky,C,25,CHO,47,755,16.8,0.5870000000000001,0.466,0.359,5.5,18.1,11.7,12.9,0.8,1.4,10.6,22.1,1.3,0.5,1.8,0.114,1.4,-1.1,0.3,0.4,3627842,2.665660917346173
